ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
1071900114,2013-01-08 20:25:18 +0000,2016-04-29 20:37:01 +0000,665,1,473,320,6288,RepTedYoho,Ted Yoho,true,false,Representing Florida's 3rd Congressional District; large animal veterinarian; conservative business owner; Member of @HFACRepublicans & @HouseAgNews Committees,The CMS proposed rule change will have a negative effect on the care seniors receive &amp; the access to drugs they need.https://t.co/tUh0pSKEBs,,http://yoho.house.gov
381152398,2011-09-27 20:47:50 +0000,2016-04-30 18:35:22 +0000,2521,220,634,1824,11804,RepTerriSewell,Rep. Terri A. Sewell,true,false,"Proud to represent the 7th Congressional District of Alabama
https://t.co/xfWvIZSjrk","Talented high school artists in the 7th district of Alabama! Check out our 1st,2nd and 3rd placed winners! Go Manida https://t.co/onhgcJqysV","Washington, DC",http://sewell.house.gov
975200486,2012-11-28 02:33:14 +0000,2016-04-29 21:36:26 +0000,1818,337,681,583,16703,RepThomasMassie,Thomas Massie,true,false,U.S. Representative for Kentucky's 4th District,Good times w Henry County Middle School this morning! Henry Clay has our back. https://t.co/IoamxWQRSn,,http://massie.house.gov/
303861808,2011-05-23 14:58:06 +0000,2016-05-01 22:02:41 +0000,1427,0,389,289,5304,RepThompson,Mike Thompson,true,false,Rep. Mike Thompson represents California's 5th Congressional District and chairs the House Gun Violence Prevention Task Force.,Congrats to our @warriors on today's win!,"St. Helena, CA",http://mikethompson.house.gov/
384392601,2011-10-03 16:10:47 +0000,2014-12-11 21:07:04 +0000,865,15,332,222,5039,RepTierney,Rep. John Tierney,true,false,Former Massachusetts Congressman,RT @FLOTUS: Thanks to the @SHSWitchPitch students whose songs helped the President &amp; First Lady spread holiday cheer. #WHHolidays http://t.co/Ry8iK6tvDz,,
2982231454,2015-01-17 06:07:59 +0000,2015-03-14 03:39:27 +0000,8,0,1,0,3,RepTimGriffin,"Демьян
",false,false,Врач-косметолог,Ему нет возраста.,,
250710495,2011-02-11 17:01:16 +0000,2012-11-15 23:18:14 +0000,284,0,175,130,1977,RepTimJohnson,Tim Johnson,true,false,"@RepTimJohnson serves on the Ag. Comm. as Chairman of the Subcommittee on Rural Development, Research, and Biotechnology and also serves on the T&I Committee.",US Rep. Johnson just spoke on the House floor urging his colleagues to bring the Farm Bill to the floor for a full vote,"Urbana, IL",http://timjohnson.house.gov/
117777832,2010-02-26 15:45:58 +0000,2016-04-29 16:38:26 +0000,2925,27,693,573,10582,RepTimMurphy,Rep. Tim Murphy,true,false,"U.S. Congressman representing Pennsylvania's 18th District, encompassing the South Hills and portions of Greene, Washington & Westmoreland Counties.",". #Pittsburghers unite! Murphy, @BMarshall &amp; Mr Magoo rally 4 #MentalHealthReform @PROJECT375 #SteelCity https://t.co/hVqBcqlcpG",Southwestern Pennsylvania,http://murphy.house.gov
13491312,2008-02-14 21:57:32 +0000,2016-05-01 13:07:13 +0000,3475,435,1343,2179,26398,RepTimRyan,Congressman Tim Ryan,true,false,"Congressman Tim Ryan, proudly serving Ohio's 13th District in the United States Congress",RT @HudsonFasteners: Happy National Small Business Week! Shoutout to #SmallBiz everywhere | https://t.co/Zha899qEii | @SBAgov #Youngstown https://t.co/3OosArHUpt,"Warren, OH",http://timryan.house.gov
1262814457,2013-03-12 20:27:45 +0000,2016-04-30 00:16:31 +0000,778,17,310,766,3692,RepTimWalz,Tim Walz,true,false,"Teacher, Football Coach, Command Sgt. Major. Proudly representing Minnesota's First Congressional District.",Happy Arbor Day! Trees are such an important part of our national conservation efforts. #ArborDay,,http://walz.house.gov
242873057,2011-01-25 20:01:25 +0000,2016-05-01 17:17:05 +0000,1713,21,641,1247,8745,RepTipton,Rep. Scott Tipton,true,false,Proud to Represent the people of #Colorado's 3rd Congressional District. Member of @FinancialCmte & Vice Chairman of @westerncaucus,@outsidemagazine says #GlenwoodSprings the 5th best place to live in US &amp; why it's the #CO3TownoftheWeek https://t.co/ygm3WpwPva,"Cortez, CO",http://tipton.house.gov/
234128524,2011-01-04 22:35:16 +0000,2016-04-28 20:23:30 +0000,2713,60,678,476,9542,RepToddYoung,Rep. Todd Young,true,false,"I serve the people of #IN09 in Congress. Contact our offices at 812-288-3999 (Jeffersonville), 812-336-3000 (Bloomington) or 202-225-5315 (Washington, DC).",Shall I compare thee to a carburetor? #Indy500 gets a poet...https://t.co/7e0fBAIxWF  Congrats to winner &amp; fellow Bloomingtonian Adam Henze!,Indiana's 9th District,http://toddyoung.house.gov
2914515430,2014-12-10 21:44:52 +0000,2016-05-01 17:39:59 +0000,1301,152,152,143,2463,RepTomEmmer,Tom Emmer,true,false,"Husband, father, hockey fan, and Congressman for Minnesota's 6th District.","Looking forward to it! RT @sctimes: Public can meet with U.S. Rep. Tom Emmer
https://t.co/6Bdee17K9O https://t.co/FULyz3pP31","Otsego, MN | Washington, D.C.",http://Emmer.house.gov
190328374,2010-09-13 17:36:23 +0000,2016-04-29 20:21:38 +0000,2875,90,664,2051,11295,RepTomGraves,Tom Graves,true,false,Conservative Republican representing Georgia's 14th Congressional District,#FreeTheDome https://t.co/KVSUsvOTaC,"Washington, DC",http://tomgraves.house.gov/
2962994194,2015-01-05 23:22:19 +0000,2016-04-29 19:19:45 +0000,926,312,137,442,2305,RepTomMacArthur,Tom MacArthur,true,false,Congressman for New Jersey's Third Congressional District,"RT @wobm: MacArthur, ex-FEMA workers add fuel to Sandy fraud fire https://t.co/QKpGxppux7",,http://macarthur.house.gov
240363117,2011-01-19 19:11:27 +0000,2016-04-30 18:00:20 +0000,2544,409,681,947,14358,RepTomMarino,Rep. Tom Marino,true,false,Proud to serve citizens of PA-10. Member on @HouseForeign @HouseHomeland @HouseJudiciary & Vice President of @NATO Parliamentary Assembly,Drug overdose = leading cause of accidental death in US. Join the fight &amp; take back unused drugs today! #TakeBackDay https://t.co/nP1PQZzakO,Pennsylvania,http://marino.house.gov
6577802,2007-06-04 19:24:39 +0000,2016-04-28 21:19:20 +0000,4997,52,1644,2890,25157,RepTomPrice,Tom Price,true,false,Representative from Georgia's Sixth Congressional District and Chairman of the House Budget Committee.,"RT @TransactAlley: Executive Director H. West Richards and Board Chairman Scott Meyerhoff with ""Legislative Champion"" @RepTomPrice https://t.co/GfQ64E0HUV","Washington, D.C. ",http://tom.house.gov/
252819323,2011-02-16 00:03:43 +0000,2016-04-14 15:48:23 +0000,1135,94,545,198,7963,RepTomReed,Tom Reed,true,false,Tom Reed represents New York's 23rd Congressional District,Today we honor the service of the brave men and women aboard the @USSHARRYSTRUMAN. @aircraftcarrier https://t.co/oCdY1Zd7xL,,http://Reed.house.gov
1058345042,2013-01-03 17:35:05 +0000,2016-04-20 14:08:12 +0000,573,5,333,319,4863,RepTomRice,Congressman Tom Rice,true,false,Proudly representing South Carolina's 7th Congressional District. Find me on FB at http://t.co/IB00psnMmQ.,RT @WaysMeansCmte: STARTING NOW: @WaysMeansCmte to mark-up bipartisan Miscellaneous Tariff Bill legislation → https://t.co/2HB2tAKtcW,,http://rice.house.gov
24773493,2009-03-16 21:27:49 +0000,2016-04-28 20:34:23 +0000,2034,621,1229,2028,19630,RepTrentFranks,Rep. Trent Franks,true,false,Representing Arizona's Eighth Congressional District.,RT @HouseJudiciary: .@RepTrentFranks is gaveling in now. Tune in now ↓  https://t.co/FkDhGNCI2M,"Peoria, AZ",http://franks.house.gov/
3317799825,2015-06-10 19:56:03 +0000,2016-04-29 21:47:05 +0000,143,13,40,227,739,RepTrentKelly,Trent Kelly,false,false,Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives,Thank you for taking the time to read my weekly newsletter: https://t.co/pPicBGCX60,,http://trentkelly.house.gov
1074129612,2013-01-09 15:49:27 +0000,2016-04-30 20:17:39 +0000,1880,610,415,2720,6010,RepVeasey,Rep. Marc Veasey,true,false,"Proudly representing Fort Worth-Dallas. Born and reared in the Metroplex. Husband, father and Dallas Cowboys fan. #TX33, #DFW",TY to the Irving @kroger team for allowing me to host #COYC today! Great to visit with #TX33 constituents. https://t.co/r26SUHfsgj,"Dallas-Fort Worth, Texas",http://twittercounter.com/RepVeasey
193872188,2010-09-22 21:24:46 +0000,2016-04-28 16:54:07 +0000,1563,41,436,1079,5763,RepVisclosky,Rep. Pete Visclosky,true,false,"Tweets from the Office of Congressman Pete Visclosky, proudly representing the people of Indiana's First Congressional District. Policy: http://t.co/Wi81U7L5zE",Appreciate the opportunity to speak at the Steel Manufacturers Association (SMA) annual member conference. https://t.co/26qr15PO2Q,"Northwest, IN - Washington, DC",http://visclosky.house.gov/
237862972,2011-01-13 20:26:26 +0000,2016-05-01 22:34:03 +0000,2663,142,658,1019,8871,RepWalberg,Rep Tim Walberg,true,false,"Proudly serving the Michigan 7th District, tweet at me or join the discussion on Facebook http://t.co/W4dgfpnMav",Congrats to the class of 2016! https://t.co/8qzjjHuNlA,MI 7th Congressional District,http://walberg.house.gov
1065995022,2013-01-06 15:41:40 +0000,2016-04-28 11:00:08 +0000,3127,722,404,705,5802,RepWalorski,Jackie Walorski,true,false,Representing Indiana's Second Congressional District,"Walorski Staff Office Hours today
in Peru &amp; Wabash. Check here for details --&gt; https://t.co/a03rUEuNKN https://t.co/p4fzvdHzzE",,http://walorski.house.gov
26778110,2009-03-26 15:50:58 +0000,2016-04-29 19:01:16 +0000,1604,30,998,175,14195,RepWalterJones,Rep. Walter Jones,true,false,Congressman Walter B. Jones represents the Third Congressional District of North Carolina #NC03,I'm questioning the VA Secretary on why Bibles have been removed from Missing Man Tables: https://t.co/i3z10CJWdB #nc03 #ncpol #veterans,Eastern North Carolina,http://jones.house.gov
281540744,2011-04-13 13:47:05 +0000,2016-04-30 21:41:59 +0000,2689,12,564,311,8384,RepWebster,Daniel Webster,true,false,A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.,Pleasure to honor Edgewood Children's Ranch as they celebrate 50 years of serving children in our community https://t.co/BrmkFgOV2t,Central Florida,http://webster.house.gov
84388888,2009-10-22 18:28:44 +0000,2014-07-13 22:39:03 +0000,484,0,2315,192,54939,repweiner,Anthony Weiner,false,false,This here thing is dormant.  Sleeping.  Maybe dead.  Come visit @Anthonyweiner for the current stuff.,What the hell are all you people looking at?  I'm over here =&gt; @anthonyweiner,"New York, NY",
2852998461,2014-10-31 03:57:48 +0000,2016-05-01 16:17:21 +0000,1680,39,152,606,2663,RepWesterman,Rep. Bruce Westerman,true,false,"Congressman representing the Fourth District of Arkansas. Husband. Father of four. Hot Springs native. @UArkansas, @Yale alum.","NEWS: Rep. Westerman discusses federal budget, Puerto Rico debt, &amp; women drafted for military service https://t.co/5hoXDCBRvM via @RobyBrock","Hot Springs, Arkansas",http://westerman.house.gov
137407124,2010-04-26 17:19:38 +0000,2016-04-30 18:46:55 +0000,3797,396,632,759,9862,RepWestmoreland,Lynn Westmoreland,true,false,U.S. Representative proudly serving Georgia's Third Congressional District.,RT @SenatorIsakson: Great to host students today from across GA who want to serve their country &amp; attend one of our service academies! https://t.co/aqzOu0moqJ,,http://www.house.gov/westmoreland
234014087,2011-01-04 17:08:09 +0000,2016-04-30 14:00:24 +0000,6526,29,684,2910,11651,RepWilson,Frederica Wilson,true,false,Congresswoman from the 24th District of Florida; former elementary school principal and school board member; grandmother of four beautiful grandkids,"@RealDonaldTrump: Since the devastating earthquake in Haiti, little progress has been made. Please address this issue.",Washington DC,http://wilson.house.gov/
